step,time,component,voltage,current,energy_stored,energy_consumed,total_energy_consumed
84,21.0,load,4.546315812567363,0.004546315812567363,NaN,0.001,0.008
85,21.25,supply,8.0,NaN,NaN,NaN,NaN
85,21.25,storage,2.603152548921463,0.0013677277822359256,0.033882015964781555,NaN,NaN
85,21.25,load,0.0,0.0,NaN,0.0,0.008
86,21.5,supply,8.0,NaN,NaN,NaN,NaN
86,21.5,storage,4.614703341458009,0.0007811069901000178,0.10647743464831858,NaN,NaN
86,21.5,load,4.614703341458009,0.004614703341458009,NaN,0.001,0.009000000000000001
87,21.75,supply,8.0,NaN,NaN,NaN,NaN
87,21.75,storage,2.6813662272359196,0.0013406449575924448,0.035948624222806945,NaN,NaN
87,21.75,load,0.0,0.0,NaN,0.0,0.009000000000000001
88,22.0,supply,8.0,NaN,NaN,NaN,NaN
88,22.0,storage,4.681736706547349,0.0007767617531472987,0.10959329294716412,NaN,NaN
88,22.0,load,4.681736706547349,0.004681736706547349,NaN,0.001,0.010000000000000002
89,22.25,supply,8.0,NaN,NaN,NaN,NaN
89,22.25,storage,2.759154595131861,0.0013140984088075057,0.03806467039918631,NaN,NaN
89,22.25,load,0.0,0.0,NaN,0.0,0.010000000000000002
90,22.5,supply,8.0,NaN,NaN,NaN,NaN
90,22.5,storage,4.747442722075207,0.0007720664688608402,0.11269106199692427,NaN,NaN
90,22.5,load,4.747442722075207,0.004747442722075207,NaN,0.001,0.011000000000000003
91,22.75,supply,8.0,NaN,NaN,NaN,NaN
91,22.75,storage,2.836482024227752,0.001288077516907635,0.04022815136883583,NaN,NaN
91,22.75,load,0.0,0.0,NaN,0.0,0.011000000000000003
92,23.0,supply,8.0,NaN,NaN,NaN,NaN
92,23.0,storage,4.811847671323887,0.0007670451679282992,0.11576939006012558,NaN,NaN
92,23.0,load,4.811847671323887,0.004811847671323887,NaN,0.001,0.012000000000000004
93,23.25,supply,8.0,NaN,NaN,NaN,NaN
93,23.25,storage,2.913315318860099,0.0012625718731891235,0.0424370307355246,NaN,NaN
93,23.25,load,0.0,0.0,NaN,0.0,0.012000000000000004
94,23.5,supply,8.0,NaN,NaN,NaN,NaN
94,23.5,storage,4.874977317131831,0.0007617207347252392,0.11882701921274935,NaN,NaN
94,23.5,load,4.874977317131831,0.004874977317131831,NaN,0.001,0.013000000000000005
95,23.75,supply,8.0,NaN,NaN,NaN,NaN
95,23.75,storage,2.989623600186788,0.001237571275054404,0.044689246353969064,NaN,NaN
95,23.75,load,0.0,0.0,NaN,0.0,0.013000000000000005
96,24.0,supply,8.0,NaN,NaN,NaN,NaN
96,24.0,storage,4.9368569121991035,0.000756114956303238,0.12186278085764034,NaN,NaN
96,24.0,load,4.9368569121991035,0.0049368569121991035,NaN,0.001,0.014000000000000005
97,24.25,supply,8.0,NaN,NaN,NaN,NaN
97,24.25,storage,3.065378195240903,0.0012130657219308763,0.04698271739929188,NaN,NaN
97,24.25,load,0.0,0.0,NaN,0.0,0.014000000000000005
98,24.5,supply,8.0,NaN,NaN,NaN,NaN
98,24.5,storage,4.997511209188803,0.0007502485693771347,0.12487559142983867,NaN,NaN
98,24.5,load,4.997511209188803,0.004997511209188803,NaN,0.001,0.015000000000000006
99,24.75,supply,8.0,NaN,NaN,NaN,NaN
99,24.75,storage,3.1405525307328457,0.0011890454112705464,0.049315350991462406,NaN,NaN
99,24.75,load,0.0,0.0,NaN,0.0,0.015000000000000006
100,25.0,supply,8.0,NaN,NaN,NaN,NaN
100,25.0,storage,5.056964470628461,0.0007441413053914548,0.12786444828599297,NaN,NaN
100,25.0,load,5.056964470628461,0.005056964470628461,NaN,0.001,0.016000000000000007
101,25.25,supply,8.0,NaN,NaN,NaN,NaN
101,25.25,storage,3.2151220314067146,0.0011655007346288747,0.051685048384184196,NaN,NaN
101,25.25,load,0.0,0.0,NaN,0.0,0.016000000000000007
102,25.5,supply,8.0,NaN,NaN,NaN,NaN
102,25.5,storage,5.115240478615373,0.0007378119337428875,0.13082842577032616,NaN,NaN
102,25.5,load,5.115240478615373,0.005115240478615373,NaN,0.001,0.017000000000000008
103,25.75,supply,8.0,NaN,NaN,NaN,NaN
103,25.75,storage,3.289064022764628,0.0011424222738212716,0.054089710729223195,NaN,NaN
103,25.75,load,0.0,0.0,NaN,0.0,0.017000000000000008
104,26.0,supply,8.0,NaN,NaN,NaN,NaN
104,26.0,storage,5.172362544329759,0.0007312783032326327,0.13376667144992707,NaN,NaN
104,26.0,load,5.172362544329759,0.005172362544329759,NaN,0.001,0.01800000000000001
105,26.25,supply,8.0,NaN,NaN,NaN,NaN
105,26.25,storage,3.3623576379801543,0.0011198007971556971,0.05652724442841741,NaN,NaN
105,26.25,load,0.0,0.0,NaN,0.0,0.01800000000000001
106,26.5,supply,8.0,NaN,NaN,NaN,NaN
106,26.5,storage,5.22835351735954,0.0007245573818195222,0.1366784025124294,NaN,NaN
106,26.5,load,5.22835351735954,0.0052283535173595404,NaN,0.001,0.01900000000000001
107,26.75,supply,8.0,NaN,NaN,NaN,NaN
107,26.75,storage,3.434983728829164,0.0010976272557398613,0.058995566086605535,NaN,NaN
107,26.75,load,0.0,0.0,NaN,0.0,0.01900000000000001
108,27.0,supply,8.0,NaN,NaN,NaN,NaN
108,27.0,storage,5.283235794840487,0.0007176652947420051,0.13956290231941895,NaN,NaN
108,27.0,load,5.283235794840487,0.0052832357948404875,NaN,0.001,0.02000000000000001
109,27.25,supply,8.0,NaN,NaN,NaN,NaN
109,27.25,storage,3.5069247804733124,0.0010758927798615468,0.061492607079488955,NaN,NaN
109,27.25,load,0.0,0.0,NaN,0.0,0.02000000000000001
110,27.5,supply,8.0,NaN,NaN,NaN,NaN
110,27.5,storage,5.337031330415364,0.0007106173610743862,0.14241951710917597,NaN,NaN
110,27.5,load,5.337031330415364,0.005337031330415364,NaN,0.001,0.02100000000000001
111,27.75,supply,8.0,NaN,NaN,NaN,NaN
111,27.75,storage,3.5781648299379425,0.001054588675440605,0.06401631775102412,NaN,NaN
111,27.75,load,0.0,0.0,NaN,0.0,0.02100000000000001
112,28.0,supply,8.0,NaN,NaN,NaN,NaN
112,28.0,storage,5.389761643015684,0.0007034281287801172,0.14524765284261565,NaN,NaN
112,28.0,load,5.389761643015684,0.005389761643015684,NaN,0.001,0.022000000000000013
113,28.25,supply,8.0,NaN,NaN,NaN,NaN
113,28.25,storage,3.6486893881325755,0.0010337064205512094,0.06656467125535634,NaN,NaN
113,28.25,load,0.0,0.0,NaN,0.0,0.022000000000000013
114,28.5,supply,8.0,NaN,NaN,NaN,NaN
114,28.5,storage,5.441447825469568,0.0006961114083224526,0.14804677218653747,NaN,NaN
114,28.5,load,5.441447825469568,0.005441447825469568,NaN,0.001,0.023000000000000013
115,28.75,supply,8.0,NaN,NaN,NaN,NaN
115,28.75,storage,3.7184853652682097,0.0010132376620129704,0.06913566705856926,NaN,NaN
115,28.75,load,0.0,0.0,NaN,0.0,0.023000000000000013
116,29.0,supply,8.0,NaN,NaN,NaN,NaN
116,29.0,storage,5.492110552939158,0.0006886803048903802,0.1508163916285283,NaN,NaN
116,29.0,load,5.492110552939158,0.005492110552939158,NaN,0.001,0.024000000000000014
117,29.25,supply,8.0,NaN,NaN,NaN,NaN
117,29.25,storage,3.7875409995315397,0.000993174212049552,0.07172733411566187,NaN,NaN
117,29.25,load,0.0,0.0,NaN,0.0,0.024000000000000014
118,29.5,supply,8.0,NaN,NaN,NaN,NaN
118,29.5,storage,5.5417700911909495,0.0006811472492954523,0.15355607871809274,NaN,NaN
118,29.5,load,5.5417700911909495,0.0055417700911909494,NaN,0.001,0.025000000000000015
119,29.75,supply,8.0,NaN,NaN,NaN,NaN
119,29.75,storage,3.855845788881785,0.0009735080450134531,0.07433773373818699,NaN,NaN
119,29.75,load,0.0,0.0,NaN,0.0,0.025000000000000015
120,30.0,supply,8.0,NaN,NaN,NaN,NaN
120,30.0,storage,5.5904463047023825,0.0006735240275929267,0.15626544942880263,NaN,NaN
120,30.0,load,5.5904463047023825,0.005590446304702382,NaN,0.001,0.026000000000000016
121,30.25,supply,8.0,NaN,NaN,NaN,NaN
121,30.25,storage,3.923390425841265,0.0009542312941756397,0.0769649621679145,NaN,NaN
121,30.25,load,0.0,0.0,NaN,0.0,0.026000000000000016
122,30.5,supply,8.0,NaN,NaN,NaN,NaN
122,30.5,storage,5.638158664607886,0.0006658218094785053,0.1589441656364649,NaN,NaN
122,30.5,load,5.638158664607886,0.005638158664607886,NaN,0.001,0.027000000000000017
123,30.75,supply,8.0,NaN,NaN,NaN,NaN
123,30.75,storage,3.9901667351559746,0.0009353362485787502,0.07960715287172646,NaN,NaN
123,30.75,load,0.0,0.0,NaN,0.0,0.027000000000000017
124,31.0,supply,8.0,NaN,NaN,NaN,NaN
124,31.0,storage,5.684926256487595,0.0006580511755099349,0.16159193270851027,NaN,NaN
124,31.0,load,5.684926256487595,0.005684926256487595,NaN,0.001,0.028000000000000018
125,31.25,supply,8.0,NaN,NaN,NaN,NaN
125,31.25,storage,4.056167614207455,0.0004648445913357555,0.08126247857272698,NaN,NaN
125,31.25,load,4.056167614207455,0.004056167614207455,NaN,0.001,0.02900000000000002
126,31.5,supply,8.0,NaN,NaN,NaN,NaN
126,31.5,storage,2.9056193382795428,0.0009076928847992653,0.04221311869492024,NaN,NaN
126,31.5,load,0.0,0.0,NaN,0.0,0.02900000000000002
127,31.75,supply,8.0,NaN,NaN,NaN,NaN
127,31.75,storage,5.753347025772962,0.0006462887103606555,0.16550500999485293,NaN,NaN
127,31.75,load,5.753347025772962,0.0057533470257729626,NaN,0.001,0.03000000000000002
128,32.0,supply,8.0,NaN,NaN,NaN,NaN
128,32.0,storage,4.153701950156634,0.0004619536308434874,0.08526619945367513,NaN,NaN
128,32.0,load,4.153701950156634,0.004153701950156634,NaN,0.001,0.03100000000000002
129,32.25,supply,8.0,NaN,NaN,NaN,NaN
129,32.25,storage,3.010309161615586,0.0008808665058872076,0.04530980624253367,NaN,NaN
129,32.25,load,0.0,0.0,NaN,0.0,0.03100000000000002
130,32.5,supply,8.0,NaN,NaN,NaN,NaN
130,32.5,storage,5.8197456557279,0.0006344262874229719,0.1693471974868188,NaN,NaN
130,32.5,load,5.8197456557279,0.005819745655727899,NaN,0.001,0.03200000000000002
131,32.75,supply,8.0,NaN,NaN,NaN,NaN
